"","location_long","location_lat"
"730",-110.25466,44.9013124
"731",-110.262591,44.9054212
"732",-110.2617877,44.9068682
"733",-110.2535034,44.8963321
"734",-110.2550614,44.8990025
"735",-110.2631657,44.9054144
"736",-110.2887844,44.9153847
"737",-110.2536825,44.9385337
"738",-110.2579895,44.9203604
"739",-110.2763861,44.907867
"740",-110.2763344,44.9079304
"741",-110.2746573,44.9072952
"742",-110.2592995,44.8989975
"743",-110.2593287,44.8990003
"744",-110.2620165,44.9036629
"745",-110.2619799,44.9038036
"746",-110.2593018,44.8990891
"747",-110.2593956,44.8989939
"748",-110.2620038,44.9060299
"749",-110.261676,44.9036831
"750",-110.2542187,44.904878
"751",-110.2620491,44.9037497
"752",-110.2616335,44.906765
"753",-110.2763328,44.9079487
"754",-110.2557281,44.897427
"755",-110.262227,44.9040609
"756",-110.261838,44.9046479
"757",-110.2615819,44.902678
"758",-110.2593533,44.9079846
"759",-110.2579017,44.9077922
"760",-110.2632459,44.9086527
"761",-110.2624916,44.9016213
"762",-110.276538,44.9079896
"763",-110.2621694,44.9036013
"764",-110.263898,44.9026604
"765",-110.2760785,44.9079676
"766",-110.2763452,44.9078929
"767",-110.2535748,44.9040316
"768",-110.2763941,44.9079001
"769",-110.2764038,44.9079034
"770",-110.262108,44.9038188
"771",-110.2764234,44.9078405
"772",-110.2628124,44.9039545
"773",-110.2618068,44.9068153
"774",-110.2581917,44.9009966
"775",-110.2580557,44.8991723
"776",-110.2763478,44.9078848
"777",-110.2623749,44.9051877
"778",-110.2616044,44.9071694
"779",-110.2564019,44.9007361
